Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Farmacia Arrocha;0103385;P1;problem;Application;closed;2025-11-10;2025-11-10 08:28:41;0;1;XStore;PRD;0,00;;N/A;2026-03-03 10:03:58;N;;
Farmacia Arrocha;0103579;P3;problem;Application;closed;2025-11-12;2025-11-12 15:48:10;0;3;XStore;PRD;0,00;;N/A;2026-03-03 10:03:02;N;;
Farmacia Arrocha;0103840;P3;problem;Application;closed;2025-11-17;2025-11-17 15:58:50;0;1;XStore;PRD;0,00;;N/A;2026-03-03 10:03:09;N;;
Farmacia Arrocha;0103845;P2;problem;Application;closed;2025-11-17;2025-11-17 16:33:07;0;3;ORCE;PRD;0,00;;N/A;2026-03-03 10:03:09;N;;
Farmacia Arrocha;0103854;P1;problem;Application;closed;2025-11-17;2025-11-17 18:15:14;0;4;XStore;PRD;0,00;;N/A;2026-03-03 10:03:23;N;;
Farmacia Arrocha;0104075;P2;problem;Application;closed;2025-11-20;2025-12-10 10:22:44;0;402;ORCE;PRD;0,00;;N/A;2026-03-03 10:03:27;N;;
Farmacia Arrocha;0104591;P2;problem;Application;closed;2025-11-28;2026-01-09 17:10:05;0;280;ORCE;PRD;0,06;;N/A;2026-02-11 04:02:18;N;;
Farmacia Arrocha;0104880;P2;user_request;Application;closed;2025-12-03;;0;566;XStore;PRD;0,00;;N/A;2026-01-15 09:01:39;Y;;
Farmacia Arrocha;0104947;P2;problem;Application;closed;2025-12-04;2025-12-04 13:11:02;0;0;XStore;QA;0,00;;N/A;2026-03-03 10:03:59;N;;
Farmacia Arrocha;0105276;P3;problem;Application;closed;2025-12-10;2025-12-11 09:34:57;0;381;XStore;PRD;0,00;;N/A;2026-03-03 10:03:29;N;;
Farmacia Arrocha;0105348;P2;problem;Application;closed;2025-12-11;2026-02-05 12:12:14;0;1193;XStore;PRD;0,19;;N/A;2026-03-28 09:03:30;N;;
Farmacia Arrocha;0105442;P1;problem;Application;closed;2025-12-12;2025-12-12 21:09:25;0;5;XStore;PRD;0,00;;N/A;2026-03-03 10:03:34;N;;
Farmacia Arrocha;0105724;P2;problem;Application;closed;2025-12-17;2025-12-17 21:58:08;0;0;APP;PRD;0,00;;N/A;2026-03-03 10:03:53;N;;
Farmacia Arrocha;0106226;P1;problem;Application;closed;2025-12-27;2025-12-31 15:18:00;0;6521;XStore;PRD;0,00;;N/A;2026-03-03 11:03:18;N;;
Farmacia Arrocha;0106246;P3;incident;Application;closed;2025-12-28;;0;69;XStore;PRD;0,09;;N/A;2026-01-13 09:01:44;Y;;
Farmacia Arrocha;0106269;P1;problem;Application;closed;2025-12-29;2025-12-29 10:38:30;0;1;XStore;PRD;0,00;;N/A;2026-03-03 10:03:04;N;;
Farmacia Arrocha;0106491;P3;problem;Application;resolved;2025-12-31;2026-03-30 15:52:40;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0106554;P2;user_request;Support;closed;2026-01-02;2026-02-05 12:13:48;0;420;Infrastructure;PRD;0,06;;N/A;2026-02-11 02:02:20;N;;
Farmacia Arrocha;0106574;P2;incident;Application;closed;2026-01-02;2026-03-20 09:22:38;0;18895;XStore;PRD;0,28;110434;N/A;2026-03-28 09:03:48;Y;;
Farmacia Arrocha;0106649;P2;internal;Support;resolved;2026-01-05;2026-01-07 07:11:24;0;;Internal;PRD;0,09;;N/A;;N;;
Farmacia Arrocha;0106651;P2;internal;Support;resolved;2026-01-05;2026-01-07 07:23:11;0;;Internal;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0106808;P3;incident;Application;closed;2026-01-07;;0;372;XStore;PRD;0,72;;N/A;2026-01-23 09:01:40;Y;;
Farmacia Arrocha;0107068;P3;incident;Application;closed;2026-01-13;2026-01-13 17:12:19;0;44;XStore;PRD;0,09;39126;N/A;2026-01-21 09:01:49;Y;;
Farmacia Arrocha;0107076;P2;incident;Application;closed;2026-01-13;;0;56;XStore;PRD;0,06;;N/A;2026-01-21 09:01:50;Y;;
